dist_name,Men,Women,Total
Bhojpur,2965,373,3338
Dhankuta,2304,331,2635
Ilam,3167,864,4031
Jhapa,10883,2675,13558
Khotang,3904,391,4295
Morang,10914,1743,12657
Okhaldhunga,2106,356,2462
Panchthar,3085,437,3522
Sankhuwasabha,2107,255,2362
Solukhumbu,1521,570,2091
Sunsari,9648,1062,10710
Taplejung,1715,220,1935
Tehrathum,1469,160,1629
Udayapur,4726,672,5398
Bara,5801,421,6222
Dhanusa,22799,103,22902
Mahottari,16711,127,16838
Parsa,3111,128,3239
Rautahat,8480,226,8706
Saptari,11150,83,11233
Sarlahi,12747,541,13288
Siraha,17573,65,17638
Bhaktapur,578,266,844
Chitwan,5658,1035,6693
Dhading,4552,1025,5577
Dolakha,2325,755,3080
Kathmandu,1945,1251,3196
Kavrepalanchok,4224,1642,5866
Lalitpur,1020,616,1636
Makwanpur,4736,1856,6592
Nuwakot,3680,1422,5102
Ramechhap,2629,730,3359
Rasuwa,509,313,822
Sindhuli,4330,734,5064
Sindhupalchok,4161,2025,6186
Baglung,4781,223,5004
Gorkha,4856,634,5490
Kaski,4037,595,4632
Lamjung,3195,316,3511
Manang,22,11,33
Mustang,64,26,90
Myagdi,1957,271,2228
Nawalparasi,6196,452,6648
Parbat,2282,167,2449
Syangja,5280,386,5666
Tanahu,6314,471,6785
Arghakhanchi,2890,162,3052
Banke,4848,310,5158
Bardiya,3825,222,4047
Dang,7759,614,8373
Gulmi,4059,201,4260
Kapilbastu,6649,135,6784
NawalparasiWest,3830,280,4110
Palpa,3827,206,4033
Pyuthan,3483,90,3573
Rolpa,5083,180,5263
Rukum,145,711,38
Rupandehi,8706,575,9281
Dailekh,1238,54,1292
Dolpa,62,10,72
Humla,50,12,62
Jajarkot,912,31,943
Jumla,396,10,406
Kalikot,276,14,290
Mugu,124,4,128
Rukum,481,2346,125
Salyan,4576,178,4754
Surkhet,2877,131,3008
Achham,369,34,403
Baitadi,1180,33,1213
Bajhang,278,26,304
Bajura,266,25,291
Dadeldhura,624,22,646
Darchula,780,24,804
Doti,476,10,486
Kailali,2449,187,2636
Kanchanpur,2639,94,2733
